Company,# of posting,Skill
Apogee Services Private Limited,1,"Core Java, Design Patterns, Cq5, Javascript, Aem, Bootstrap, JQuery, ExtJS,..."
Apps Associates (I) Pvt. Ltd,1,"Risk Mitigation, Operational Excellence, Project Management..."
Associated Recruitment & Management Services Pvt Ltd,1,"Agile Methodology, PMP, Business Solutions, Project Management..."
Atos Pvt Ltd,1,"BPO, Printing, TSO, Application support, Consulting, Scheduling, Operations..."
Atria Convergence Technologies Ltd,2,"Enterprise Architecture, pmp, delivery manager, project manager...#####Enterprise Architecture, pmp, delivery manager, project manager..."
Augusta Infotech,1,"C, Customer focus, Written communication, Programming, Presalesmicrosoft..."
AutoRABIT,1,"Computer science, Web technologies, devops, IT support, Salesforce.com..."
Axelta Systems Pvt.Ltd,5,"Wireless, EMI, Automation, C++, Online marketing, EMC, Power supply...#####Wireless, EMI, English, Automation, C++, Online marketing, Presales, EMC...#####Wireless, EMI, English, Automation, C++, Online marketing, Presales, EMC...#####Wireless, EMI, English, Automation, C++, Online marketing, Presales, EMC...#####Wireless, EMI, English, Automation, C++, Online marketing, Presales, EMC..."
Ayan Consultancy,2,"Project analysis, Project management, Application programming, Budgeting...#####Project analysis, Project management, Budgeting, Information technology"
BA Continuum India Pvt. Ltd,1,CFA Fresher
BACentric Solutions,1,"Retail, performance, Ad, istering, analysis, sales"
BSS BUSINESS CONSULTANCY PRIVATE LIMITED,1,"Hibernate, Core Java, Stored Procedures, Eclipse, Subversion..."
Bedouin,3,"trading, trade finance, structured finance, deal structuring, syndication...#####trading, trade finance, structured finance, Lending, deal structuring...#####trading, trade finance, structured finance, Lending, deal structuring..."
Bharat Institutions- Division of Chinta Reddy,1,"Professor Activities, Communication Skills, Education, Providing Training..."
Bizacuity Solutions Pvt. Ltd.,1,"My SQL, MQ, Microservices design, PL - SQL, Batch processing, Microservices..."
Bizrights IP,4,"Team management, Sales, ISO 9001, Intellectual property, IPR, Service sales...#####Team management, Sales, ISO 9001, Business Development Manager...#####Team management, Sales, ISO 9001, Intellectual property, IPR, Service sales...#####Team management, Sales, ISO 9001, Business Development Manager..."
Bombay Swadeshi Stores Limite,1,"Sales, Stock Management, Stock Control, Store Management..."
Brainfuse,1,"Learning, education, Tutoring, mathematics, Online Tutor, Computer Science,..."
Brains & Machines Innovative Solutions,3,"server, technical, Web development, HTML, JSON, microsoft, research, web...#####Computer science, Stress testing, Automation, Test scripts...#####Computer science, Process design, Database design, Technical design..."
Brightex Bio Phonics Pvt Ltd,1,"c, web application, computer science, information technology, software..."
CBRE,2,"Technical Architect, Golang, Enterprise Information Architecture, DevOps...#####MRI Applications, System Design, Power BI, SSRS, SQL Server, Tableau, Yardi..."
CC Staffing International,2,"Solution architecture, Ubuntu, Cloud computing, Network administration...#####c++, technical, software, DNS, networking, analytics, cloud, coding, web..."
CES Ltd.,2,"Angularjs, EF, Web Api, dot net core, Micro Services, react...#####Business Process Management, IOS Developer, ios software engineer..."
CORSALITE EDUCATION SERVICES PRIVATE LIMITED,1,"sales operations, implementation manager, project management, pmp..."
COTELLIGENT INDIA PVT LTD,2,"Product Strategy, Product Development, Developing Marketing Strategies...#####Product Strategy, Product Development, Developing Marketing Strategies..."
CSC India Pvt Ltd.,26,"Change management, SAP, Project management, Configuration management...#####Change management, SAP, Project management, Configuration management...#####Change management, SAP, Project management, Configuration management...#####Change management, SAP, Project management, Configuration management...#####Change management, SAP, Project management, Configuration management...#####Change management, SAP, Project management, Configuration management...#####Change management, SAP, Project management, Configuration management...#####Change management, SAP, Project management, Configuration management...#####Change management, SAP, Project management, Configuration management...#####Change management, SAP, Project management, Configuration management...#####Change management, SAP, Project management, Configuration management...#####Change management, SAP, Project management, Configuration management...#####Change management, SAP, Project management, Configuration management...#####Change management, SAP, Project management, Configuration management...#####Change management, SAP, Project management, Configuration management...#####Change management, SAP, ISO, Project management, Configuration management...#####Interpersonal skills, Business Analyst, Professional, Business analysis...#####Interpersonal skills, Business Analyst, Business analysis, Analytical, Test...#####Interpersonal skills, Business Analyst, Business analysis, Analytical, Test...#####Business administration, Interpersonal skills, Business Analyst...#####Change management, SAP, Project management, Configuration management...#####Business administration, Interpersonal skills, Business Analyst...#####Interpersonal skills, Business Analyst, Business analysis, Analytical, Test...#####SAP, Business analysis, Project management, Customer relationship...#####Change management, SAP, Performance management, Business analysis...#####Change management, SAP, Performance management, Business analysis..."
CST 2000(INDIA) Pvt Ltd,1,"Interviewing Candidates, Screening, Linkedin, IT Recruitment, Dice, Hiring,..."
CYNIX LABS PRIVATE LIMITED,1,"cloud, XML, Web Technologies, SAAS, MySQL, Javascript, PHP, HTML..."
Cactus Communications Pvt. Ltd.,2,"editorial, chemistry, electronics, information technology, engineering...#####editorial, chemistry, electronics, information technology, engineering..."
Capgemini Technology Services India Limited,2,"Consultant 4, Disaster recovery, Subject Matter Expert...#####Consultant 4, Disaster recovery, Subject Matter Expert..."
Career Infosystem,3,"C#, Reporting Services, C#.Net, Javascript, ASP.Net, MS SQL Server...#####.Net Architect, .Net, SQL Server, Web Services#####RFT, UFT, iSeries, Quality, AS400, UAT, Automation Testing..."
CausePointTech,3,"Performance tuning, c, technical, analytical, Perl, Teradata...#####Performance tuning, c, technical, analytical, Perl, Teradata...#####Performance tuning, server, c, oracle, analytical, Perl, Teradata, Business..."
Client Of Sampoorna,1,"Java, J2EE"
CodeCrux Web technologies(p) Ltd.,1,"Cold calling, IT services, Mobile application development, Sales strategy..."
Cognizant Technology Solutions India Ltd,3,"Test Engineering, Java, Test Execution, Robot Framework, Automation Testing...#####Test Engineering, Java, Test Execution, Robot Framework, Automation Testing...#####Test Engineering, Performance Testing, Performance Engineering, Load Runner..."
Collabera Technologies Private Limited,1,"Jboss Application Server, Rest, Core Java, Web Technologies, Spring Boot..."
Compugain Solutions India Private Limited,4,"excel, balance sheet, mis reporting, trial balance, accounting, word...#####us it recruitment, screening, technical recruitment, cold calling, sourcing#####us it recruitment, screening, technical recruitment, cold calling, sourcing#####IT Recruitment, Business Consulting, Negotiation Skills, Sourcing..."
Computer Ware India Pvt Ltd,2,"Printing, Telecom, Networking, Appliances, WAN, System integration, Network...#####Telecom, Backend, ERP, Networking, XML, Billing, Javascript, HTML..."
Confidential,8,"java, data science, .net, java script, software engineering...#####Software Development, Business Analyst, SDLC, Salesforce#####SAP - PLM, SAP PLM, SAP PLM Consultant, SAP MM, SAP EHS, Devex#####CSS, Web Developer, HTML, 3D Studio, Adobe Photoshop, GifConverter...#####Web Technologies, Technical Support, User Experience, ASP.Net, .Net, Entity...#####3D, CSS, InDesign, UI, Illustrator, Mobile UI, Javascript, HTML, Photoshop,...#####jQuery, .Net, Entity Framework, SQL Server, MVC, Angular 4, Angular 2, ASP,...#####Corporate Strategy, COO, Geographic Information Systems, Operations Head..."
Connectpro Management Consultants Pvt Ltd.,1,"C#, Angular 2.x, CSS, Azure, Software Development, Front End, Html5..."
Construction Specialties International India Pvt Ltd.,2,"Application Manager, ERP, Enterprise Delivery, Oracle Cloud...#####C#, Asp .Net, Microsoft.Net, HTML, Coding, MySQL, Javascript, Sitecore..."
Construction Specialties International India Pvt.,1,"Orcle Fusion SCM, Order Management System, Orcle Fusion HCM..."
ConverseHR,1,"Unix, IT Asset Management, Network Infrastructure, Linux, Exchange Server..."
CoreEdge Solutions,1,"Hybrid Apps, RESTful API, AngularJS, Technical Leadership..."
Crypto Asset Rating Inc,1,"cryptocurrency, ethereum, github, hyperledger, financial products..."
